timestamp,account_id,event_type,ip,device,location
2026-03-01 11:18:48.884917,ACC_000860,login_fail,192.168.71.92,SamsungS24,Nigeria
2026-03-01 11:19:30.884917,ACC_003772,login_success,192.168.164.34,WindowsPC,Romania
2026-03-01 11:20:12.884917,ACC_003092,login_success,45.67.222.187,WindowsPC,UK
2026-03-01 11:20:54.884917,ACC_000466,malware_signal,192.168.155.3,SamsungS24,India
2026-03-01 11:21:36.884917,ACC_004426,login_success,192.168.223.7,SamsungS24,India
2026-03-01 11:22:18.884917,ACC_003444,password_reset,192.168.197.245,Unknown,India
2026-03-01 11:23:00.884917,ACC_003171,login_success,192.168.74.216,iPhone15,India
2026-03-01 11:23:42.884917,ACC_002919,login_success,192.168.74.8,iPhone15,India
2026-03-01 11:24:24.884917,ACC_000130,login_success,45.67.142.34,Unknown,Romania
2026-03-01 11:25:06.884917,ACC_001685,login_fail,192.168.208.35,WindowsPC,India
2026-03-01 11:25:48.884917,ACC_000769,login_success,192.168.179.93,WindowsPC,India
2026-03-01 11:26:30.884917,ACC_002391,foreign_ip,192.168.107.32,Unknown,India
2026-03-01 11:27:12.884917,ACC_002433,login_success,192.168.58.211,iPhone15,India
2026-03-01 11:27:54.884917,ACC_001184,login_success,192.168.136.221,WindowsPC,India
2026-03-01 11:28:36.884917,ACC_004555,foreign_ip,192.168.71.89,iPhone15,India
2026-03-01 11:29:18.884917,ACC_003385,login_success,192.168.2.2,WindowsPC,Nigeria
2026-03-01 11:30:00.884917,ACC_004117,login_success,192.168.47.55,iPhone15,India
2026-03-01 11:30:42.884917,ACC_004843,login_success,192.168.61.134,Unknown,India
2026-03-01 11:31:24.884917,ACC_002904,new_device,192.168.109.178,iPhone15,India
2026-03-01 11:32:06.884917,ACC_000474,new_device,192.168.210.13,WindowsPC,India
2026-03-01 11:32:48.884917,ACC_001082,login_success,192.168.126.243,WindowsPC,Romania
2026-03-01 11:33:30.884917,ACC_002558,login_success,192.168.181.119,WindowsPC,India
2026-03-01 11:34:12.884917,ACC_002047,password_reset,45.67.245.93,SamsungS24,India
2026-03-01 11:34:54.884917,ACC_002747,malware_signal,192.168.64.78,SamsungS24,India
2026-03-01 11:35:36.884917,ACC_000975,login_success,192.168.165.248,WindowsPC,Romania
2026-03-01 11:36:18.884917,ACC_001806,foreign_ip,45.67.7.189,Unknown,India
2026-03-01 11:37:00.884917,ACC_000189,login_success,45.67.168.57,WindowsPC,Nigeria
2026-03-01 11:37:42.884917,ACC_002734,login_success,192.168.74.254,Unknown,India
2026-03-01 11:38:24.884917,ACC_003005,login_success,192.168.42.149,WindowsPC,India
2026-03-01 11:39:06.884917,ACC_004658,login_success,192.168.164.18,WindowsPC,India
2026-03-01 11:39:48.884917,ACC_001899,login_success,45.67.57.71,Unknown,Singapore
2026-03-01 11:40:30.884917,ACC_001267,malware_signal,45.67.122.215,iPhone15,Romania
2026-03-01 11:41:12.884917,ACC_001528,login_success,192.168.5.217,SamsungS24,India
2026-03-01 11:41:54.884917,ACC_003202,login_success,192.168.170.251,WindowsPC,India
2026-03-01 11:42:36.884917,ACC_003556,login_success,192.168.206.116,Unknown,India
2026-03-01 11:43:18.884917,ACC_003890,password_reset,192.168.61.104,Unknown,India
2026-03-01 11:44:00.884917,ACC_000646,foreign_ip,192.168.6.237,SamsungS24,India
2026-03-01 11:44:42.884917,ACC_002888,login_success,192.168.6.206,SamsungS24,India
2026-03-01 11:45:24.884917,ACC_002435,login_success,192.168.209.166,iPhone15,India
